round,acc
0.0,0.335
1.0,0.3618
2.0,0.3633
3.0,0.3851
4.0,0.3998
5.0,0.4235
6.0,0.437
7.0,0.4366
8.0,0.4564
9.0,0.4636
10.0,0.4643
11.0,0.4809
12.0,0.4931
13.0,0.4962
14.0,0.514
15.0,0.5212
16.0,0.5361
17.0,0.5408
18.0,0.5407
19.0,0.5519
20.0,0.5518
