round,acc
0.0,0.7457
1.0,0.7556
2.0,0.7465
3.0,0.7747
4.0,0.7775
5.0,0.7943
6.0,0.8011
7.0,0.8179
8.0,0.8113
9.0,0.8217
10.0,0.8269
11.0,0.7988
12.0,0.8349
13.0,0.8409
14.0,0.8426
15.0,0.8447
16.0,0.8458
17.0,0.855
18.0,0.8498
19.0,0.856
20.0,0.8592
