round,acc
0.0,0.335
1.0,0.3542
2.0,0.3633
3.0,0.3883
4.0,0.4013
5.0,0.4181
6.0,0.4253
7.0,0.442
8.0,0.4476
9.0,0.4541
10.0,0.4729
11.0,0.4848
12.0,0.4965
13.0,0.5107
14.0,0.4996
15.0,0.5011
16.0,0.5184
17.0,0.5298
18.0,0.5283
19.0,0.5438
20.0,0.5508
