round,acc
0.0,0.335
1.0,0.3524
2.0,0.3716
3.0,0.4014
4.0,0.4146
5.0,0.4096
6.0,0.4378
7.0,0.4408
8.0,0.4562
9.0,0.4645
10.0,0.4866
11.0,0.4852
12.0,0.4913
13.0,0.5139
14.0,0.5284
15.0,0.5379
16.0,0.5498
17.0,0.5609
18.0,0.5606
19.0,0.5751
20.0,0.5772
21.0,0.5915
22.0,0.5821
23.0,0.5954
24.0,0.5976
25.0,0.6132
26.0,0.6197
27.0,0.6132
28.0,0.6172
29.0,0.6224
30.0,0.6281
31.0,0.64
32.0,0.6393
33.0,0.6403
34.0,0.6503
35.0,0.6549
36.0,0.6505
37.0,0.6595
38.0,0.6556
39.0,0.6667
40.0,0.6704
41.0,0.6704
42.0,0.6684
43.0,0.6633
44.0,0.6706
45.0,0.6794
46.0,0.6869
47.0,0.685
48.0,0.6863
49.0,0.6871
50.0,0.6939
