round,acc
0.0,0.7457
1.0,0.7503
2.0,0.7408
3.0,0.7747
4.0,0.7774
5.0,0.7959
6.0,0.8042
7.0,0.8141
8.0,0.8162
9.0,0.8243
10.0,0.8319
11.0,0.8092
12.0,0.8381
13.0,0.8474
14.0,0.8421
15.0,0.8438
16.0,0.8479
17.0,0.8531
18.0,0.8558
19.0,0.8541
20.0,0.8631
21.0,0.8622
22.0,0.8678
23.0,0.8721
24.0,0.871
25.0,0.873
26.0,0.8711
27.0,0.8784
28.0,0.8854
29.0,0.8824
30.0,0.876
31.0,0.881
32.0,0.8812
33.0,0.8702
34.0,0.8893
35.0,0.8911
36.0,0.8886
37.0,0.8901
38.0,0.8925
39.0,0.8973
40.0,0.8946
41.0,0.8925
42.0,0.8919
43.0,0.8852
44.0,0.8984
45.0,0.8981
46.0,0.9037
47.0,0.8979
48.0,0.9026
49.0,0.9023
50.0,0.905
