round,acc
0.0,0.335
1.0,0.3539
2.0,0.3652
3.0,0.3852
4.0,0.3909
5.0,0.4189
6.0,0.4328
7.0,0.4504
8.0,0.4502
9.0,0.4726
10.0,0.4943
11.0,0.4843
12.0,0.5101
13.0,0.5154
14.0,0.5211
15.0,0.5344
16.0,0.5547
17.0,0.543
18.0,0.5578
19.0,0.5716
20.0,0.5755
21.0,0.576
22.0,0.5857
23.0,0.5948
24.0,0.5962
25.0,0.6047
26.0,0.5987
27.0,0.6171
28.0,0.6176
29.0,0.6277
30.0,0.6317
31.0,0.6329
32.0,0.6403
33.0,0.6403
34.0,0.6524
35.0,0.6509
36.0,0.6556
37.0,0.6627
38.0,0.6612
39.0,0.6624
40.0,0.6641
41.0,0.6681
42.0,0.6771
43.0,0.6629
44.0,0.6794
45.0,0.6795
46.0,0.6758
47.0,0.6844
48.0,0.6843
49.0,0.6924
50.0,0.6908
