round,acc
0.0,0.7457
1.0,0.749
2.0,0.7729
3.0,0.7857
4.0,0.7943
5.0,0.8003
6.0,0.8157
7.0,0.8161
8.0,0.8153
9.0,0.8281
10.0,0.8241
11.0,0.8043
12.0,0.834
13.0,0.8431
14.0,0.842
15.0,0.8406
16.0,0.8474
17.0,0.8559
18.0,0.8597
19.0,0.8653
20.0,0.8627
