round,acc
0.0,0.7457
1.0,0.7635
2.0,0.7855
3.0,0.7981
4.0,0.8165
5.0,0.8152
6.0,0.8209
7.0,0.8298
8.0,0.8444
9.0,0.847
10.0,0.8502
11.0,0.8308
12.0,0.8634
13.0,0.8679
14.0,0.8789
15.0,0.882
16.0,0.8821
17.0,0.8816
18.0,0.8874
19.0,0.8891
20.0,0.8921
21.0,0.8942
22.0,0.8995
23.0,0.9017
24.0,0.8984
25.0,0.9061
26.0,0.9099
27.0,0.9089
28.0,0.9109
29.0,0.912
30.0,0.9124
31.0,0.9144
32.0,0.9115
33.0,0.914
34.0,0.9156
35.0,0.9171
36.0,0.9205
37.0,0.9193
38.0,0.9185
39.0,0.9196
40.0,0.9196
41.0,0.9222
42.0,0.9154
43.0,0.9139
44.0,0.9183
45.0,0.9183
46.0,0.9241
47.0,0.9218
48.0,0.9229
49.0,0.9212
50.0,0.9249
